model,decode_method,BLEU-1,BLEU-2,BLEU-4,infer_seconds,sentences_per_sec
Seq2Seq+Attention,beam,0.6743594626487093,0.5335257592068229,0.35861572194733277,205.12754917144775,15.600049885670922
Seq2Seq+Attention,greedy,0.6654417614911384,0.520269233980887,0.34321475078288144,50.63498592376709,63.19741067604369
Transformer,beam,0.6259006624292965,0.47935778814375535,0.31327540447244534,1056.3812761306763,3.029209313251927
Transformer,greedy,0.6238460068560504,0.47113004594849917,0.300992257313435,281.93542742729187,11.350116688777064
