model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
NaiveBayes,0.7885714285714286,0.4286404896732033,0.7781446809881675,,0.2735595703125,0.0599973201751709,11667.187766991063,,,
TextCNN,0.6928571428571428,0.14958196690282102,0.6358946797445469,1750702.0,2.6003098487854004,0.05699753761291504,12281.232300838685,0.17953753130861128,2.0,2.0
Transformer,0.6385714285714286,0.08341787430838135,0.5655468216640439,1806894.0,2.5294601917266846,0.1289997100830078,5426.36878446912,0.09141945257224805,2.0,2.0
BiGRU,0.5914285714285714,0.061801485354371834,0.5095247589811712,1829166.0,3.743894100189209,0.09551501274108887,7328.6908509082195,0.0602156639205713,2.0,2.0
