model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
TextCNN,0.8107747105966162,0.5913534239109872,0.8023282015665031,2774702.0,12.501976251602173,0.10493659973144531,21403.399821873238,0.5493893192996209,8.0,12.0
NaiveBayes,0.7827248441674087,0.5878680929153287,0.7812711248546476,,0.8165323734283447,0.19886445999145508,11294.124652019307,,,
BiGRU,0.7764915405164737,0.5151122884788721,0.7689433041221541,2853166.0,69.89412593841553,0.20730376243591309,10834.342674770987,0.500006779917421,15.0,15.0
Transformer,0.7911843276936776,0.48166832389000475,0.7797881635372313,2830894.0,50.317182779312134,0.28629112243652344,7845.161180287677,0.5098311576288451,14.0,15.0
