model,decode_method,BLEU-1,BLEU-2,BLEU-4,infer_seconds,sentences_per_sec
Seq2Seq+Attention,beam,0.35371151970304654,0.14522019764882696,0.02394428902294965,31.958296060562134,21.9035457545507
Seq2Seq+Attention,greedy,0.3383378710126526,0.12864555880802725,0.01933435874388463,8.038277387619019,87.08333468041015
Transformer,beam,0.2866765784545899,0.11586813987662425,0.030509299251425932,146.32656383514404,4.78382039223337
Transformer,greedy,0.3191404175499352,0.11822519682033479,0.024622492046819884,42.98301601409912,16.28550215672136
