model,BLEU-1,BLEU-2,BLEU-4,BLEU-1-greedy,BLEU-2-greedy,BLEU-4-greedy,best_val_BLEU-4,best_epoch,trained_epochs,train_seconds,infer_seconds_beam,infer_sents_per_sec_beam,infer_seconds_greedy,infer_sents_per_sec_greedy,params
Transformer,0.2866765784545899,0.11586813987662425,0.030509299251425932,0.3191404175499352,0.11822519682033479,0.024622492046819884,0.018045545032402584,2,2,105.90835547447205,146.32656383514404,4.78382039223337,42.98301601409912,16.28550215672136,3015428
Seq2Seq+Attention,0.35371151970304654,0.14522019764882696,0.02394428902294965,0.3383378710126526,0.12864555880802725,0.01933435874388463,0.020921795873300713,2,2,42.34464955329895,31.958296060562134,21.9035457545507,8.038277387619019,87.08333468041015,3237380
