model,BLEU-1,BLEU-2,BLEU-4,BLEU-1-greedy,BLEU-2-greedy,BLEU-4-greedy,best_val_BLEU-4,best_epoch,trained_epochs,train_seconds,infer_seconds_beam,infer_sents_per_sec_beam,infer_seconds_greedy,infer_sents_per_sec_greedy,params
Seq2Seq+Attention,0.6731545185334558,0.5300851475373564,0.3489662212467874,0.6611168254213765,0.5142543059813438,0.3312387708805286,0.3707013681844857,10,15,1336.358204126358,270.56442499160767,11.827127679846518,62.050861835479736,51.57059717372513,10112433
CNNBiGRU,0.6517737209903054,0.5053733321181687,0.32495602708655386,0.6447783997711092,0.49547152557210644,0.31271771446193036,0.3556078578061324,14,19,1789.2508807182312,265.6822319030762,12.04446370793586,66.75050711631775,47.93971069648596,10831473
Transformer,0.6174673510521558,0.47086896658762956,0.30488848925669915,0.6170867726954959,0.46227034629798097,0.2892254575850569,0.32309668833152116,16,20,3079.5044243335724,738.5583679676056,4.33276520690692,169.38631868362427,18.891726468044233,9700849
