model,BLEU-1,BLEU-2,BLEU-4,BLEU-1-greedy,BLEU-2-greedy,BLEU-4-greedy,best_val_BLEU-4,best_epoch,trained_epochs,train_seconds,infer_seconds_beam,infer_sents_per_sec_beam,infer_seconds_greedy,infer_sents_per_sec_greedy,params
Seq2Seq+Attention,0.672740289689731,0.5314169235378355,0.3499687688970351,0.6597239749070845,0.5136293543276462,0.3314353831876304,0.37759663328330473,10,15,1279.1977908611298,248.76103019714355,12.863751197138853,54.56635284423828,58.64419799385385,10112433
Transformer,0.6365886129401952,0.49669887888789443,0.33069872246469867,0.6362236137705278,0.48611565128150297,0.31114400461676395,0.3451055002364126,17,20,3013.97575712204,795.2555911540985,4.023863567379721,190.13211107254028,16.830402723394354,9700849
