model,decode_method,BLEU-1,BLEU-2,BLEU-4,infer_seconds,sentences_per_sec
Seq2Seq+Attention,beam,0.6731545185334558,0.5300851475373564,0.3489662212467874,270.56442499160767,11.827127679846518
Seq2Seq+Attention,greedy,0.6611168254213765,0.5142543059813438,0.3312387708805286,62.050861835479736,51.57059717372513
Transformer,beam,0.6174673510521558,0.47086896658762956,0.30488848925669915,738.5583679676056,4.33276520690692
Transformer,greedy,0.6170867726954959,0.46227034629798097,0.2892254575850569,169.38631868362427,18.891726468044233
CNNBiGRU,beam,0.6517737209903054,0.5053733321181687,0.32495602708655386,265.6822319030762,12.04446370793586
CNNBiGRU,greedy,0.6447783997711092,0.49547152557210644,0.31271771446193036,66.75050711631775,47.93971069648596
