model,accuracy,precision,recall,f1,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1,best_epoch,trained_epochs
NaiveBayes,0.867,0.8752547900529963,0.8567438148443735,0.8659003831417624,,8.824057340621948,2.2423160076141357,2229.8373570102144,,,
TextCNN,0.8462,0.8136511375947996,0.8990422984836393,0.854218009478673,2757377.0,16.70173215866089,0.2195885181427002,22769.860839220823,0.8477034649476228,10.0,12.0
BiGRU,0.8352,0.798862828713575,0.897047086991221,0.8451127819548873,2758401.0,10.148689031600952,0.23862504959106445,20953.374377788834,0.8530805687203792,4.0,8.0
Transformer,0.8128,0.8054474708171206,0.8260175578611333,0.8156028368794326,2825089.0,41.86897087097168,0.560884952545166,8914.484115345149,0.831946755407654,7.0,11.0
