model,accuracy,precision,recall,f1,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1,best_epoch,trained_epochs
NaiveBayes,0.863,0.8701456310679612,0.8552683896620278,0.8626428714658111,,3.893712043762207,1.1363117694854736,4400.200837719052,,,
CNNBiGRU,0.839,0.8263358778625954,0.8608349900596421,0.8432327166504382,2807937.0,295.379052400589,5.218069076538086,958.2088559312896,0.8613376835236541,4.0,8.0
TextCNN,0.839,0.826585179526356,0.8604373757455268,0.8431716345217222,2757377.0,23.167986154556274,0.2744278907775879,18219.72244086621,0.8477034649476228,10.0,12.0
BiGRU,0.8324,0.8102108768035516,0.8707753479125249,0.8394020697585282,2758401.0,275.53828740119934,4.552059888839722,1098.4038264211972,0.8412083656080558,4.0,8.0
Transformer,0.8054,0.8129058441558441,0.7964214711729622,0.8045792327776662,2825089.0,128.68665409088135,1.018354892730713,4909.879685060017,0.8117839607201309,9.0,12.0
