model,accuracy,precision,recall,f1,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1,best_epoch,trained_epochs
NaiveBayes,0.8553333333333333,0.8644736842105263,0.8521400778210116,0.8582625734813847,,1.7764341831207275,0.41048407554626465,3654.222147360595,,,
TextCNN,0.7573333333333333,0.7408284023668639,0.8119325551232166,0.7747524752475248,1733377.0,1.6953318119049072,0.09450888633728027,15871.523389312284,0.7598784194528876,2.0,2.0
Transformer,0.7106666666666667,0.6710659898477157,0.8573281452658884,0.7528473804100227,1801089.0,2.485006093978882,0.24081134796142578,6228.942334728663,0.7821229050279329,2.0,2.0
BiGRU,0.742,0.7823529411764706,0.6900129701686122,0.7332873880082702,1734401.0,1.040518045425415,0.09499740600585938,15789.904830743284,0.7386759581881533,2.0,2.0
