model,accuracy,precision,recall,f1,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1,best_epoch,trained_epochs
NaiveBayes,0.8468,0.8550548112058465,0.837375745526839,0.8461229409401366,,0.6824519634246826,0.6825957298278809,7324.979898805944,,,
TextCNN,0.8048,0.7969895793130065,0.8210735586481114,0.808852330591461,2757377.0,5.513424396514893,0.23894500732421875,20925.31690028417,0.8167202572347267,11.0,12.0
CNNBiGRU,0.7686,0.722331368696791,0.8771371769383698,0.7922427724905728,2807937.0,97.78725171089172,4.849077939987183,1031.1238676467256,0.8104956268221575,8.0,12.0
BiGRU,0.7568,0.7137216189536032,0.8624254473161034,0.7810586964350018,2758401.0,59.274245738983154,4.4263129234313965,1129.6083414102286,0.7764705882352941,4.0,8.0
Transformer,0.7358,0.7161477190441708,0.7864811133200795,0.7496683721811636,2825089.0,27.173158645629883,0.8990960121154785,5561.141338215398,0.7597402597402597,7.0,11.0
