model,accuracy,precision,recall,f1,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1,best_epoch,trained_epochs
NaiveBayes,0.857,0.8694581280788177,0.8421471172962227,0.8555847303575035,,2.0413331985473633,0.6757717132568359,7398.9483458886425,,,
TextCNN,0.8378,0.8274404304381245,0.8560636182902585,0.8415086965018566,2757377.0,15.984392881393433,0.2516641616821289,19867.747424106346,0.8400435255712732,10.0,12.0
BiGRU,0.823,0.7931654676258992,0.8767395626242545,0.8328611898016998,2758401.0,175.03626608848572,4.297775983810425,1163.392419436199,0.8197064989517819,4.0,8.0
CNNBiGRU,0.8154,0.8028919330289194,0.8389662027833003,0.8205327629788062,2807937.0,263.96405029296875,4.9219279289245605,1015.8620914818024,0.8514225500526871,7.0,11.0
Transformer,0.7906,0.7901185770750988,0.794831013916501,0.7924677898909812,2825089.0,87.77313923835754,0.864487886428833,5783.771037735199,0.8174863387978142,12.0,12.0
