model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
NaiveBayes,0.7704626334519573,0.40496698979896045,0.7493105283980142,,0.0796499252319336,0.021870851516723633,25696.301745282504,,,
TextCNN,0.7473309608540926,0.3130673499144827,0.7167412519619962,2774702.0,5.183791399002075,0.04735517501831055,11867.763127951586,0.3892241438585264,10.0,14.0
CNNBiGRU,0.693950177935943,0.29966025945729935,0.6784700060874203,2917166.0,107.2538845539093,0.6365838050842285,882.8374135682574,0.37479482598698793,14.0,15.0
BiGRU,0.6832740213523132,0.23211939995108885,0.6660374561457272,2853166.0,98.88920378684998,0.6005628108978271,935.7888797007316,0.29183355811995443,15.0,15.0
Transformer,0.6957295373665481,0.2114247476063346,0.6681121363175119,2830894.0,31.095157146453857,0.21871280670166016,2569.5797538120755,0.3030775218933114,15.0,15.0
