model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
NaiveBayes,0.7853962600178095,0.42107808252143547,0.7715136824425296,,0.15630698204040527,0.0424039363861084,26483.390357313543,,,
BiGRU,0.7818343722172751,0.4176631460979163,0.7710506423342648,2853166.0,197.89309906959534,1.233522891998291,910.4006154119724,0.38939595326067133,15.0,15.0
TextCNN,0.7943009795191451,0.405227724716118,0.7746469705118018,2774702.0,9.170288801193237,0.07549333572387695,14875.48522305948,0.4705469860018646,8.0,12.0
CNNBiGRU,0.7764915405164737,0.3986175925563436,0.7675287976922407,2917166.0,214.5899977684021,1.3351497650146484,841.1041438393836,0.43771434849517127,15.0,15.0
Transformer,0.7577916295636687,0.2976916439462688,0.739384746241323,2830894.0,62.12964630126953,0.22524619102478027,4985.655894516121,0.3923273440326164,14.0,15.0
