model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
TextCNN,0.8121104185218165,0.5639998279153056,0.8046038106549394,2774702.0,19.90044927597046,0.1301119327545166,17262.0600774377,0.5645650643652746,10.0,14.0
NaiveBayes,0.786286731967943,0.5584405514717821,0.7834468330812612,,0.31712889671325684,0.0843820571899414,26617.032990133474,,,
BiGRU,0.7960819234194123,0.5362062769128775,0.7900880540280586,2853166.0,393.9566435813904,2.4132888317108154,930.6801450731358,0.517774088798003,13.0,15.0
CNNBiGRU,0.794746215494212,0.532479855688427,0.7911284507145635,2917166.0,426.18186807632446,2.6367039680480957,851.8210717688847,0.5152356179176644,11.0,15.0
Transformer,0.8032056990204809,0.503615301674104,0.7928981346035726,2830894.0,123.36392116546631,0.4289829730987549,5235.639036617323,0.5102022780218622,15.0,15.0
