model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
TextCNN,0.8148367952522255,0.527272483677911,0.8023852518865524,2774702.0,15.946842193603516,0.10247969627380371,16442.2813617445,0.5535306379916305,13.0,15.0
NaiveBayes,0.7845697329376855,0.497614080447018,0.778177166877168,,0.24195384979248047,0.0664670467376709,25350.908197415192,,,
CNNBiGRU,0.7893175074183977,0.4514612003012942,0.780802567316285,2917166.0,317.16532850265503,1.9783689975738525,851.7116888034427,0.5054032285626746,15.0,15.0
BiGRU,0.7792284866468843,0.4190082499865605,0.7706163794600098,2853166.0,293.65793108940125,1.8320410251617432,919.739229011664,0.4809871443021678,15.0,15.0
Transformer,0.7810089020771513,0.37508642550776056,0.7716922546602171,2830894.0,92.38732123374939,0.3304939270019531,5098.429539342314,0.3877076728614088,13.0,15.0
