model,BLEU-1,BLEU-2,BLEU-4,BLEU-1-greedy,BLEU-2-greedy,BLEU-4-greedy,best_val_BLEU-4,best_epoch,trained_epochs,train_seconds,infer_seconds_beam,infer_sents_per_sec_beam,infer_seconds_greedy,infer_sents_per_sec_greedy,params,ratio,task
Seq2Seq+Attention,0.6252221440354557,0.4644938981339824,0.2744955984910981,0.614841135836254,0.4502883290431268,0.2618819284314891,0.3099173829404803,15,20,859.1545896530151,76.64820194244385,20.874592742585943,18.30498099327087,87.40790283192202,7632102,0.5,translation
Transformer,0.5700048972044188,0.4120643127962106,0.2417509232441215,0.5720696078270462,0.4050717436985996,0.2280493942692157,0.2556009626860204,17,20,1632.6148808002472,200.07655501365664,7.996938971139267,48.2395179271698,33.16782730738768,7712614,0.5,translation
CNNBiGRU,0.5918772867427073,0.4248249869333294,0.2393808966319452,0.5832558036473718,0.4127422583026934,0.2293235386664499,0.272547723180029,14,19,889.2526569366455,83.66440987586975,19.12402181971844,23.02373504638672,69.49350297753273,8351142,0.5,translation
Seq2Seq+Attention,0.6658207188314976,0.5266564980420522,0.3512734037701061,0.6547623999785368,0.509510957722034,0.3312400952492758,0.3604134609208724,10,15,982.1596994400024,151.248517036438,21.15723223407918,35.73750901222229,89.54177525091619,10112433,1.0,translation
Transformer,0.6267708014336149,0.4817250168202542,0.3134352150094951,0.6264483396341879,0.4739687914252476,0.2994146215770675,0.3309249310241762,17,20,1773.518567800522,391.92892694473267,8.164745646475959,95.12801313400269,33.63888190844793,9700849,1.0,translation
CNNBiGRU,0.6454255477381187,0.4949445170994768,0.3118977875303645,0.6386781545267006,0.4852204519357829,0.3002657948688854,0.347076408906209,15,20,1421.2342865467072,168.26744484901428,19.017344697135844,45.87851595878601,69.74942264642239,10831473,1.0,translation
