model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
Transformer,0.7951914514692787,0.5593398932019193,0.7893964962683231,2830894.0,131.16328930854797,0.4900071620941162,4583.606473018466,0.5200063193775517,12.0,15.0
NaiveBayes,0.786286731967943,0.5584405514717821,0.7834468330812612,,0.3539309501647949,0.09048604965209961,24821.50573083267,,,
TextCNN,0.8121104185218165,0.5455615135738685,0.8002225574495825,2774702.0,16.74074101448059,0.14501094818115234,15488.485718983262,0.5142964066898393,7.0,11.0
BiGRU,0.792520035618878,0.5037519812863052,0.7838832086073015,2853166.0,383.3826472759247,2.616503953933716,858.3973269458694,0.4958814017247425,9.0,13.0
