model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
TextCNN,0.8165627782724845,0.6008543355605355,0.8103954226372159,2774702.0,23.363832235336304,0.2488420009613037,9025.807505660048,0.568686903114585,14.0,15.0
NaiveBayes,0.786286731967943,0.5584405514717821,0.7834468330812612,,0.3674330711364746,0.10611891746520996,21164.935090261628,,,
BiGRU,0.7880676758682101,0.521329767948854,0.7872705700715733,2853166.0,449.86282896995544,2.8654799461364746,783.8128488835808,0.4843691177435488,14.0,15.0
Transformer,0.7934105075690115,0.5015401969858178,0.7860195991667793,2830894.0,133.5927538871765,0.48618412017822266,4619.6490316809895,0.5277602198527207,15.0,15.0
CNNBiGRU,0.7938557435440784,0.4778882975977936,0.7831109953759142,2917166.0,421.48181200027466,2.9699978828430176,756.2294953052378,0.5179780183436135,9.0,13.0
