model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
TextCNN,0.8103294746215495,0.5949491115159714,0.8022741169950527,2774702.0,22.499714136123657,0.15005779266357422,14967.56656307397,0.5475813313654535,14.0,15.0
NaiveBayes,0.786286731967943,0.5584405514717821,0.7834468330812612,,0.3555409908294678,0.10149788856506348,22128.53914256788,,,
BiGRU,0.7934105075690115,0.5071923400734147,0.7878098132423274,2853166.0,352.66219687461853,2.4670279026031494,910.4072141340898,0.45864638434882055,8.0,12.0
Transformer,0.7911843276936776,0.4486736848345309,0.7805009225503604,2830894.0,131.04477906227112,0.49199914932250977,4565.048543463491,0.48309835075116025,11.0,15.0
