model,BLEU-1,BLEU-2,BLEU-4,BLEU-1-greedy,BLEU-2-greedy,BLEU-4-greedy,best_val_BLEU-4,best_epoch,trained_epochs,train_seconds,infer_seconds_beam,infer_sents_per_sec_beam,infer_seconds_greedy,infer_sents_per_sec_greedy,params
Seq2Seq+Attention,0.6252221440354557,0.4644938981339824,0.2744955984910981,0.614841135836254,0.4502883290431268,0.2618819284314891,0.3099173829404803,15,20,859.1545896530151,76.64820194244385,20.874592742585943,18.304980993270874,87.40790283192202,7632102
Transformer,0.5700048972044188,0.41206431279621064,0.2417509232441215,0.5720696078270462,0.4050717436985996,0.22804939426921578,0.2556009626860204,17,20,1632.6148808002472,200.07655501365662,7.996938971139267,48.2395179271698,33.16782730738768,7712614
CNNBiGRU,0.5918772867427073,0.4248249869333294,0.23938089663194526,0.5832558036473718,0.4127422583026934,0.2293235386664499,0.272547723180029,14,19,889.2526569366455,83.66440987586975,19.12402181971844,23.02373504638672,69.49350297753273,8351142
