model,accuracy,precision,recall,f1,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1,best_epoch,trained_epochs
NaiveBayes,0.8592,0.8628803245436105,0.8531889290012034,0.8580072609923356,,9.911045789718628,2.2048542499542236,2267.723592207425,,,
TextCNN,0.8322,0.8056171470805618,0.8744484556758925,0.838622812079246,2757377.0,12.625586986541748,0.20018887519836426,24976.412875318732,0.8569157392686805,5.0,9.0
BiGRU,0.821,0.8135792778649922,0.8315282791817088,0.8224558619321564,2758401.0,11.754089832305908,0.23657894134521484,21134.594531404317,0.8597359735973598,5.0,9.0
Transformer,0.7942,0.7667638483965015,0.8439630966706779,0.8035134619056712,2825089.0,48.137675285339355,0.5922842025756836,8441.89323006819,0.8302788844621514,11.0,12.0
