,precision,recall,f1-score,support
0,0.8333333333333334,0.7692307692307693,0.8,13.0
1,0.6865671641791045,0.8518518518518519,0.7603305785123967,108.0
2,0.6666666666666666,0.8421052631578947,0.7441860465116279,19.0
3,0.888095238095238,0.9383647798742139,0.9125382262996942,795.0
4,0.8651452282157677,0.8597938144329897,0.8624612202688728,485.0
5,0.0,0.0,0.0,4.0
6,1.0,0.9166666666666666,0.9565217391304348,12.0
7,1.0,0.75,0.8571428571428571,4.0
8,0.6666666666666666,0.7777777777777778,0.717948717948718,36.0
9,0.9166666666666666,0.88,0.8979591836734694,25.0
10,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
11,0.5912408759124088,0.8526315789473684,0.6982758620689655,95.0
12,0.7,0.5833333333333334,0.6363636363636364,12.0
13,0.8125,0.30952380952380953,0.4482758620689655,42.0
14,0.8,0.6666666666666666,0.7272727272727273,6.0
15,0.5,0.5,0.5,6.0
16,0.7049180327868853,0.7889908256880734,0.7445887445887446,109.0
17,0.7,0.7,0.7,10.0
18,1.0,0.5882352941176471,0.7407407407407407,17.0
19,0.7899159663865546,0.6861313868613139,0.734375,137.0
20,0.75,0.5294117647058824,0.6206896551724138,68.0
21,0.75,0.72,0.7346938775510204,25.0
22,0.0,0.0,0.0,4.0
23,0.35294117647058826,0.5454545454545454,0.42857142857142855,11.0
24,0.6666666666666666,0.375,0.48,16.0
25,0.7142857142857143,0.8,0.7547169811320755,25.0
26,1.0,1.0,1.0,6.0
27,1.0,0.25,0.4,4.0
28,0.5,0.25,0.3333333333333333,12.0
29,1.0,0.2,0.3333333333333333,5.0
30,1.0,0.8181818181818182,0.9,11.0
31,1.0,0.6,0.75,10.0
32,1.0,0.625,0.7692307692307693,8.0
33,1.0,0.6666666666666666,0.8,3.0
34,0.5833333333333334,0.6363636363636364,0.6086956521739131,11.0
35,0.0,0.0,0.0,3.0
36,0.75,0.25,0.375,12.0
37,0.5,0.25,0.3333333333333333,4.0
38,1.0,0.5,0.6666666666666666,4.0
39,0.0,0.0,0.0,6.0
40,0.4444444444444444,0.4444444444444444,0.4444444444444444,9.0
41,0.5,0.125,0.2,8.0
42,0.5,0.3333333333333333,0.4,3.0
43,0.6666666666666666,0.8,0.7272727272727273,5.0
44,1.0,1.0,1.0,3.0
45,1.0,0.25,0.4,4.0
accuracy,0.8121104185218165,0.8121104185218165,0.8121104185218165,0.8121104185218165
macro avg,0.7122950235251307,0.5681170833420068,0.605049927785666,2246.0
weighted avg,0.8139277397580246,0.8121104185218165,0.8038143519106284,2246.0
