model,accuracy,f1_macro,f1_weighted,params,train_seconds,infer_seconds,infer_samples_per_sec,best_val_f1_macro,best_epoch,trained_epochs
TextCNN,0.8121104185218165,0.605049927785666,0.8038143519106284,2774702.0,12.41177248954773,0.07399749755859375,30352.377770904215,0.5808861069404208,14.0,15.0
NaiveBayes,0.786286731967943,0.5584405514717821,0.7834468330812612,,0.5597696304321289,0.15000200271606445,14973.133420434424,,,
BiGRU,0.7934105075690115,0.488098263884102,0.7892598927707748,2853166.0,43.787551164627075,0.22121644020080566,10152.952456703622,0.49298210962255357,11.0,15.0
Transformer,0.8014247551202137,0.48153450008032583,0.7926601640697407,2830894.0,49.97656750679016,0.19025778770446777,11805.035825859431,0.4601633188916217,12.0,15.0
